,company_name,industry_group,company_code,CIN code,industry_type,Defaulter,PAT/CE,PAT/sales,PBIT/sales,Cash Profits/TA,CR,QR,CFO/Debt,cash/CL,NWC/sales,INTCOV,Debt/Equity,cash/COS,NWC_cycle,Debtor_days,Creditor_days,RM_cycle,WIP_cycle,FG_cycle,NWC/TA,RE/TA,PBIR/TA,sales/TA,MVE/BVD
847,Prodapt Solutions Pvt. Ltd.,Computer software,182538,U30007TN1999PTC041798,1,0,0.220322181,0.164310138,0.211163478,0.189555126,0.958715596,,0.332449629,,-0.029479715,35.32,1.208457924,,-31.9,42.38,435.78,,,,-0.030851064,0.391876209,0.22098646,1.046518375,
848,Pudumjee Paper Products Ltd.,Paper & newsprint,517843,L21098PN2015PLC153717,1,0,0.049066448,0.028395502,0.043950265,0.060192024,1.659164228,0.949658639,0.068769467,0.004201365,0.151663189,5.4,0.783718858,0.001010101,894.1,44.58,58.3,56.24,5.75,15.01,0.194217569,0.53792684,0.05628204,1.28058476,0.64
851,Quality Care India Ltd.,Health services,184820,U85110TG1992PLC014728,1,0,-0.05276052,-0.06044348,-0.049868197,0.007150014,0.855757297,0.803953114,,0.004320846,-0.023647077,,0.562652339,0.001428311,-152.5,60.36,156.96,,,,-0.017362692,0.086631296,-0.036615357,0.734242645,
852,R C C P L Pvt. Ltd.,Cement,377895,U26940MH2007PTC173458,1,0,0.040549965,0.051636062,0.071058356,0.077532517,1.014166424,0.740005262,0.2303381,0.000761636,-0.097846569,2,2.310876303,0.000239413,-2622.2,10.59,65.82,90.4,7.07,8.1,-0.066522402,0.025939729,0.048310049,0.679864428,
854,R R Kabel Ltd.,Wires & cables,192420,U28997MH1995PLC085294,1,0,0.146489833,0.061423535,0.095395634,0.149640522,1.434657085,1.041145682,0.18152951,8.30806E-05,0.091910539,8.4,1.146194752,2.2547E-05,1819.7,69.43,13.98,11.26,14.08,16.37,0.184786141,0.428205857,0.191792924,2.01050002,
855,R S P L Ltd.,"Cosmetics, toiletries, soaps & detergents",372671,U15111UP1988PLC009771,1,0,0.064933092,0.060118133,0.08858222,0.072402189,0.630561827,0.256149995,0.125078805,0.000484277,-0.063553647,8.11,1.699874356,0.000180832,-2847,3.34,51.12,49.37,7.8,15.15,-0.055668422,0.361778261,0.077591651,0.875928051,
856,R V R Projects Pvt. Ltd.,Other construction & allied activities,188260,U45200AP1999PTC031655,1,0,0.216191391,0.113117279,0.176131337,0.205386312,1.948863636,1.169496166,0.739032187,0.00753012,0.064958329,11.91,0.430391157,0.001461367,594.7,19.13,41.39,40.68,33.22,3.53,0.098621913,0.689507637,0.267408501,1.518233528,
857,Raghunath Agro Inds. Pvt. Ltd.,Other agricultural products,534171,U01403DL2015PTC282966,1,0,0.015229771,0.003257237,0.004560131,0.014157973,1.158543165,0.689118705,0.226003412,0.000179856,0.041919221,1.35,4.878230399,5.78553E-05,148,67.12,35.85,20.38,,39.44,0.110283159,0.013338301,0.011997019,2.630849478,
858,Raj Petro Specialities Pvt. Ltd.,Refinery,243508,U23201MH1997PTC107800,1,0,0.082767195,0.01593571,0.023570146,0.043003653,1.270415631,0.967066072,,0.000102121,-0.029443447,1.99,6.348750774,5.3711E-05,-344.4,95.16,107.57,59.73,4.46,8.73,-0.048384378,0.110241641,0.03873279,1.643298679,
859,Rajapalayam Mills Ltd.,Cotton & blended yarn,190319,L17111TN1936PLC002298,1,0,0.036896062,0.067364037,0.065257397,0.071442863,0.778707668,0.295186194,0.042607212,6.48761E-05,-0.200179185,2.21,1.705942068,5.11078E-05,-826.7,49.74,15.48,144.27,18.35,26.79,-0.103381437,0.34169522,0.033701823,0.516444489,0.56
860,Rajasthan Liquors Ltd.,Processed foods,397737,U15531UP1998PLC028079,1,0,0.062910914,0.045769806,0.04406577,0.091489922,1.105930018,0.966335175,,0.050607735,0.042929746,2.55,1.353068816,0.022133445,143.6,53.4,50.03,20.62,4.05,8.68,0.047292847,0.211895666,0.048544329,1.101633513,
861,Rajratan Global Wire Ltd.,Other ferrous metal products,191796,L27106MP1988PLC004778,1,0,0.093492071,0.059177406,0.076560175,0.093163792,1.21615431,0.905364678,0.275310054,0.001084991,0.043852706,3.97,0.912439807,0.000314399,138.5,66.06,25.03,23.56,1.67,9.09,0.058122456,0.469386042,0.101472995,1.325401821,0.81
862,Raksha Health Insurance T P A Pvt. Ltd.,Other miscellaneous services,413737,U85199DL2002PTC113925,1,0,0.360407761,,,,1.515132275,,,0.002116402,,,,0.001945147,141.2,,1111.38,,,,,,,,
863,Rallis India Ltd.,Pesticides,192276,L36992MH1948PLC014083,1,0,0.097768412,0.076524195,0.113415763,0.07902113,1.610403934,1.116653646,0.062116573,3.44653E-05,0.294444313,39.91,0.709012552,2.02833E-05,4962.8,84.71,116.28,64.31,3.45,67.88,0.232615258,0.534797608,0.08960009,0.790014437,0.99
864,Ralson (India) Ltd.,Other transport equipment & ancillaries,192287,U51909DL1974PLC042836,1,0,0.137748802,0.07231571,0.108668032,0.162667165,1.659958881,1.122546882,0.424295227,0.016634478,0.133741281,24.42,0.429698363,0.003892072,1031.6,43.98,30.54,31.19,4.97,27.08,0.192948658,0.684485177,0.156775461,1.442700832,
865,Ram Ratna Wires Ltd.,Wires & cables,192422,L31300MH1992PLC067802,1,0,0.038099101,0.012781726,0.020657254,0.067784737,1.161449521,0.861569374,-0.010073315,7.0502E-05,0.033022794,1.98,2.239620878,1.66382E-05,412.6,58.92,12.41,8.16,2.52,7.44,0.085009065,0.33768749,0.053177023,2.574254162,0.38
866,Ramaraju Surgical Cotton Mills Ltd.,Diversified cotton textile,192771,L17111TN1939PLC002302,1,0,-0.022541042,-0.03141051,-0.038917424,0.036558629,0.733134194,0.26996562,0.069518886,0.000112721,-0.192888186,0.94,4.9843503,8.66288E-05,-488.2,41.76,18.9,81.46,18.56,68.27,-0.128958977,0.156747761,-0.026018966,0.668568561,
867,Ramco Cements Ltd.,Cement,134435,L26941TN1957PLC003566,1,0,0.081950058,0.09836209,0.137328558,0.107855763,0.700395976,0.450828517,0.268512165,5.79695E-05,-0.151520277,10.07,0.660616465,2.97787E-05,-7792.9,33.68,44.83,189,7.09,5.17,-0.105312448,0.599550798,0.095448655,0.695038643,0.92
868,Ramco Industries Ltd.,Other construction materials,192855,L26943TN1965PLC005297,1,0,0.082595105,0.082081936,0.108537912,0.095408088,1.347638769,0.649637268,0.136592454,0.000111182,0.13285184,7.51,0.551567196,4.89908E-05,1184.6,38.69,24.97,110.77,14.4,44.33,0.109272378,0.668225592,0.089273854,0.822513099,0.9
869,Rane (Madras) Ltd.,Other automobile ancillaries,367383,L65993TN2004PLC052856,1,0,0.074732646,0.034475461,0.052289728,0.11591264,0.977284235,0.621219793,0.129009253,0.000437284,-0.018281336,3.48,1.757262211,0.000148877,-250.5,58.72,78.16,21.57,4.37,25.57,-0.029193763,0.253035918,0.083502319,1.5969163,0.49
870,Rane Engine Valve Ltd.,Other automobile ancillaries,380966,L74999TN1972PLC006127,1,0,-0.05217826,-0.03182831,-0.038653688,0.038498269,1.076758445,0.613142064,0.011310584,0.000115687,0.028286619,,1.632000628,4.60543E-05,120.6,72.38,77.15,57.35,13.08,27.6,0.035991405,0.359884207,-0.049182285,1.272382715,0.53
871,Rashi Peripherals Pvt. Ltd.,Wholesale trading,194270,U30007MH1989PTC051039,1,0,0.071572039,0.008155653,0.012300329,0.041828246,1.204959741,0.677728696,,,0.032998783,3.43,4.41994012,,1456.2,33.14,31.11,,,30.41,0.160882967,0.176029963,0.059969286,4.87542121,
872,Rashmi Cement Ltd.,Sponge iron,194290,U14107WB1991PLC053043,1,0,0.153483208,0.119481846,0.144161928,,2.904950328,2.028077117,,0.000126284,0.287115878,90.5,,3.43367E-05,2923.5,12.29,12.9,58.03,,14.87,,,,,
873,Rashmi Metaliks Ltd.,Other ferrous metal products,362884,U27109WB2004PLC097737,1,0,0.052390232,0.038737246,0.037692606,0.07355321,1.403768052,0.892471226,0.491145322,0.015365442,0.086732167,13.17,0.434054755,0.004852728,1926.2,38.51,30.58,42,,23.32,0.085399754,0.291348742,0.037113557,0.984637621,
874,Rashtriya Chemicals & Fertilizers Ltd.,Fertilisers,194371,L24110MH1978GOI020185,1,0,0.021573834,0.01560809,0.032000117,0.040916605,1.339179088,1.021003318,-0.317162183,2.11216E-06,0.178284602,2.16,1.72609788,1.16104E-06,15896.8,13.32,54.76,49.34,1.93,31.89,0.195082203,0.304709791,0.0350151,1.0942179,0.44
875,Ratnamani Metals & Tubes Ltd.,Steel pipes & tubes,194847,L70109GJ1983PLC006460,1,0,0.159348067,0.091810622,0.138037177,,2.901336767,1.695302919,,0.000306598,0.338315952,40.06,,6.24043E-05,9320.3,67.87,43.01,62.31,33.41,5.83,,,,,1.02
876,Raymond Ltd.,Other textiles,195517,L17117MH1925PLC001208,1,0,0.023774787,0.022473757,0.028888307,0.047478905,0.904528395,0.510190936,0.032272762,0.000242021,-0.133372099,1.64,2.100496051,0.000206985,-4380.9,72.08,103.63,47.08,73.55,88.72,-0.103225974,0.276680671,0.022358677,0.773969778,0.72
877,Raymond Uco Denim Pvt. Ltd.,Cloth,385129,U17115MH2006PTC162450,1,0,-0.050092764,-0.038515966,-0.041129345,0.002228792,0.803756142,0.499014094,0.109828043,0.000193949,-0.16675416,0.36,3.330526419,0.000138031,-1461.2,99.46,93.94,56.37,27.68,26.7,-0.166158745,-0.569331362,-0.040982488,0.996429384,
878,Real Ispat & Power Ltd.,Steel,384846,U27107CT1999PLC013773,1,0,0.124803392,0.040876207,0.054919703,0.140188787,1.810087424,1.196368527,0.926513317,0.003362475,0.067451341,10.51,0.309363296,0.000297715,602.3,13.31,21.18,21.66,,6.18,0.172282609,0.638672769,0.1402746,2.554176201,
879,Redington (India) Ltd.,Wholesale trading,195939,L52599TN1961PLC028758,1,0,0.061351475,0.009026546,0.015607488,0.037317485,1.180863155,0.757956213,0.089136682,1.65525E-05,0.031441026,2.87,2.260545906,3.64136E-06,5299.3,50.51,44.74,,,29.6,0.101330473,0.249606097,0.050300972,3.222874265,0.85
880,Reliance Industries Ltd.,Refinery,196667,L17110MH1973PLC019786,1,0,0.06201128,0.091355247,0.123061854,0.067065413,0.75698566,0.538473723,0.102549364,9.40496E-05,-0.20806227,5.16,0.789789353,5.5898E-05,-800840,10.7,108.66,31.9,7.35,14.47,-0.11039354,0.486152561,0.065294076,0.53057933,0.86
881,Reliance Jio Infocomm Ltd.,Telecommunication services,392821,U72900GJ2007PLC105869,1,0,0.021663341,0.064741602,0.099558779,0.053709156,0.22215112,,0.045791866,,-1.245970032,1.4,3.598935644,,-570430,6.68,83.4,,,,-0.307017874,-0.025430981,0.024532151,0.246408715,
882,Reliance Jio Infratel Pvt. Ltd.,Other construction & allied activities,483882,U64200GJ2013PTC105870,1,0,-0.755555556,-0.018508438,-0.018508438,,11.75,,,,0.022863364,,,,4.2,217.97,,,,,,,,,
883,Reliance Retail Ltd.,Retail trading,193705,U01100MH1999PLC120563,1,0,0.123612089,0.027100426,0.041612547,0.128486875,0.968522502,0.449133672,,0.004203654,-0.016194315,8.93,1.800593274,0.000835002,-18753.2,10.32,25.53,186.76,,43.82,-0.054629425,0.171482946,0.14037454,3.3733705,
884,Renaissance Global Ltd.,Gems & jewellery,198127,L36911MH1989PLC054498,1,0,0.039145698,0.020760813,0.027652401,0.044216557,1.851930389,1.051306425,-0.094431346,0.000243736,0.261716092,4.91,0.891771795,8.29167E-05,3345.7,96.38,56.58,39.14,66.65,11.13,0.383351475,0.428255514,0.040504154,1.464760814,0.69
885,Resinova Chemie Ltd.,Other chemical products,412496,U24295GJ2009PLC058120,1,0,0.038792985,0.032241825,0.049403904,0.147245409,3.139937652,1.919293384,0.600590261,0.001385521,0.276355232,21.62,0.240605953,0.000191246,1207.7,57.39,58.01,51.38,6.37,23.61,0.288027665,0.078511805,0.05149058,1.042237062,
886,Responsive Industries Ltd.,"Plastic furniture, floorings & miscellaneous items",228300,L65100MH1982PLC027797,1,0,0.037121212,0.045190014,0.073382096,0.119705151,1.151377158,0.658538377,2.096511201,0.000514139,0.005660677,4.68,0.212787572,0.000120223,35.6,95.57,26.05,58.44,2.54,9.94,0.004587688,0.604762948,0.059472416,0.810448588,0.96
887,Responsive Sutip Ltd.,Renewable electricity,460246,U17120GJ2010PLC107847,1,0,-0.048398705,-0.301569507,-0.522795217,0.000246975,0.428396822,0.428193115,0.210479856,0.00081483,0.063527653,0.4,-3.506810302,0.002057613,17,0.41,,,,,0.008397135,-0.399160286,-0.069103482,0.132180785,
888,Revathi Equipment Ltd.,Mining & construction equipment,197392,L29120TZ1977PLC000780,1,0,0.058701397,0.123445356,0.156125959,0.052955109,3.183243243,2.471891892,1.005945946,0.000540541,0.525271236,6.38,0.11648407,0.000153988,397,157.68,165.06,128.76,88.01,26.59,0.223889014,0.878355515,0.066546357,0.426235055,1.08
889,Rex Polyextrusion Pvt. Ltd. [Merged],Polymers,395072,U25209GJ2006PTC105346,1,0,0.109442257,0.074399203,0.12825302,0.146352868,1.354030501,1.101618425,-0.033238231,0.001867414,0.135412775,4.29,1.20405359,0.00087222,217.5,96.82,42.4,24.09,2.28,29.2,0.16949813,0.452930175,0.16053616,1.251714464,
890,Rivulis Irrigation India Pvt. Ltd.,Agricultural machinery,550674,U01400PN2014PTC156742,1,0,0.010304097,0.004854369,0.004854369,0.016180768,1.533823186,1.227315139,-0.207758531,0.000116632,0.222649775,1.25,2.197128532,6.00925E-05,376.1,160.32,99.54,15.86,,61.81,0.268087533,-0.039275786,0.005845035,1.204077269,
891,Roop Automotives Ltd.,Other automobile ancillaries,199638,U34300HR1990PLC030932,1,0,0.132713809,0.100389917,0.149102092,0.139520363,1.204448334,0.74952376,0.205875328,0.000308912,-0.010763908,6.09,1.463986014,0.00019459,-39.2,92.1,77.04,64.69,,80.25,-0.011125302,0.391996594,0.154108131,1.033574571,
892,Roquette India Pvt. Ltd.,Starches,415227,U15326MH2010PTC310407,1,0,-0.052741245,-0.053795854,-0.048151129,0.013487996,1.052911725,0.526256258,0.073998541,,0.038140029,0.05,2.015111301,,725,48.03,26.04,71.68,3.68,17.32,0.034311568,-0.073772237,-0.043317763,0.899620916,
893,Ruchira Papers Ltd.,Paper & newsprint,200693,L21012HP1980PLC004336,1,0,0.126112574,0.081260097,0.126070275,0.150518374,1.601897876,0.844103028,0.18894529,0.002892002,0.092245557,10.25,0.507918969,0.000753012,456.8,40.8,18.97,69.94,4.04,9.4,0.123975465,0.483390327,0.169434945,1.343972209,0.71
894,Rupa & Co. Ltd.,Readymade garments,200979,L17299WB1985PLC038517,1,0,0.124292808,0.076262119,0.118954857,0.108424321,1.889176476,1.015156417,0.003000439,0.000447973,0.275440445,10.04,0.712270216,0.000169162,3372.3,104.26,67.4,40.26,50.41,82.5,0.342198725,0.506128993,0.147785851,1.242369201,0.9
898,S F O Technologies Pvt. Ltd.,Other electronics,362932,U72900KL1990PTC005620,1,0,0.036255604,0.024081115,0.036848125,0.059430401,1.420207675,0.92752895,,9.57029E-05,0.136820304,2.4,0.940043492,4.3375E-05,1327.8,76.6,97.91,69.23,23.78,5.42,0.151870067,0.490769759,0.040901292,1.109996569,
899,S H Kelkar & Co. Ltd.,"Cosmetics, toiletries, soaps & detergents",202623,L74999MH1955PLC009593,1,0,0.065748498,0.064360545,0.116369934,0.087911474,1.36010172,0.737870575,0.349698997,0.000635749,0.106738035,14.17,0.50120692,0.000295196,745.8,83.03,111.26,96.16,25.76,9.11,0.083277502,0.287864576,0.090792353,0.780204565,0.95
900,S M R C Automotive Products India Pvt. Ltd.,Other automobile ancillaries,524246,U34101TN2013FTC091389,1,0,0.037880065,0.01529281,0.032650376,0.106257028,0.986948091,0.855161098,0.356551178,,-0.004810201,4.76,0.848853562,,-21.2,41.33,128.39,7.5,8.82,3.57,-0.007011046,0.143461869,0.047589126,1.457536874,
901,S N L Bearings Ltd.,General purpose machinery,204231,L99999MH1979PLC134191,1,0,0.237179487,0.200295276,0.283218504,,6.977722772,3.804455446,,,0.577509843,1133,,,234.7,61.21,35.72,130.18,28.99,33.77,,,,,1
903,S P I Cinemas Pvt. Ltd. [Merged],Diversified non-financial services,385716,U92111DL1991PTC346125,1,0,0.053805774,0.039968805,0.059303308,0.159693389,0.629498674,0.604495517,0.461619803,0.008334386,-0.108175733,2.19,2.821399512,0.002407178,-332.9,21.2,40.61,,,,-0.11813762,0.124702793,0.064764541,1.092089854,
904,S P Singla Constructions Pvt. Ltd.,Infrastructural construction,204670,U45201DL1996PTC114775,1,0,0.091707793,0.039577775,0.063021735,0.081407993,1.437547267,1.338892648,0.232420205,0.045098117,0.055220085,3.03,1.698194247,0.01919103,707.8,75.59,96.93,,15.5,,0.079345328,0.32551987,0.090555462,1.436892551,
905,S R F Ltd.,Other chemical products,204866,L18101DL1970PLC005197,1,0,0.073653899,0.080076177,0.10810702,0.10286766,1.027101819,0.624780374,0.134357691,0.000175701,-0.041234943,4.5,1.129687851,8.42503E-05,-2663.2,38.16,77.77,67.56,8.27,12.56,-0.031911885,0.462542598,0.083664451,0.773903958,0.86
906,S S F Plastics India Pvt. Ltd.,"Plastic furniture, floorings & miscellaneous items",389849,U25209HP2006PTC030421,1,0,0.048417814,0.039554784,0.067739812,0.109008924,0.999824853,0.603818198,0.203017915,0.00052544,-0.021722219,3.14,1.103123549,0.000197304,-72.6,52.35,42.46,56.06,18.58,,-0.02289282,0.472393025,0.071390282,1.053889572,
909,Safari Industries (India) Ltd.,Plastic packaging goods,206802,L25200MH1980PLC022812,1,0,0.088694566,0.047115939,0.072525016,0.090323594,1.904746082,0.875671485,-0.213669579,0.000166141,0.262368371,10.03,0.910277569,5.71374E-05,1502.4,76.31,48.6,98.99,4.47,114.55,0.393339617,0.196093832,0.108728663,1.499188397,0.92
910,Sai Service Pvt. Ltd.,Retail trading,207901,U60210PN1985PTC037099,1,0,0.227636933,0.023802978,0.034007527,,2.056551405,1.300682318,,0.049381288,0.05872034,46.2,,0.002879202,1794.2,6.08,9.28,,,15.03,,,,,0.61
911,Sai Service Spares & Accessories Pvt. Ltd.,Retail trading,207851,U23300PN1991PTC062654,1,0,0.278820375,0.026065163,0.039181287,,1.448556625,0.621021466,,0.044411547,0.04962406,13.76,,0.005213311,59.4,19.61,40.03,,,37.91,,,,,
912,Saint-Gobain India Pvt. Ltd.,Glass & glassware,208211,U26109TN1997PTC037875,1,0,0.114341039,0.112155805,0.171944811,0.136852964,1.461200564,0.836595868,0.621191322,,0.104780837,76.98,0.29440182,,5323.6,28.75,103.63,101.76,12.25,41.86,0.085677546,0.355303668,0.140596408,0.817683346,
913,Salarpuria Properties Pvt. Ltd.,Other construction & allied activities,208657,U51399WB1983PTC035768,1,0,0.091001602,0.23114909,0.356802531,0.089560722,4.577481788,4.08871072,-0.055602597,0.000387948,0.275959183,9.26,0.279347864,0.000234981,1430.6,14.77,51.26,,94.53,9.51,0.097962817,0.778491458,0.126661417,0.354990242,
914,Salzer Electronics Ltd.,Other electronics,208942,L03210TZ1985PLC001535,1,0,0.055121009,0.043129984,0.058304682,0.067995311,1.375760669,0.815672726,0.19955971,0.000353343,0.142926575,2.62,0.902160279,0.000177249,794,98.04,36.41,38.87,54.29,21.25,0.145442556,0.265093787,0.059331038,1.017603312,0.57
915,Sam India Builtwell Pvt. Ltd.,Infrastructural construction,387705,U70101DL1998PTC091859,1,0,0.134265075,0.018672607,0.031776191,,1.502695687,1.383586262,,0.002995208,-0.020507109,,,0.000673612,-93.9,11.84,53.95,7.51,,,,,,,
917,Samkrg Pistons & Rings Ltd.,Other automobile ancillaries,209427,L27310TG1985PLC005423,1,0,0.093007468,0.042123211,0.072087433,0.137996598,1.159312839,0.806690778,,0.000180832,0.021494857,23.21,0.430125224,3.07465E-05,76.9,41.11,40.18,14.5,9.18,13.55,0.038476934,0.641849295,0.129040328,1.790053037,0.84
918,Samsonite South Asia Pvt. Ltd.,Wholesale trading,209751,U19120MH1995PTC094287,1,0,0.392247119,0.107809827,0.166667993,,1.888803039,1.151503445,,3.21937E-05,0.20790929,200.15,,9.51882E-06,2612.9,64.76,105.25,27.49,5.13,83.14,,,,,
920,San Engineering & Locomotive Co. Ltd.,Diversified,209925,U74210KA1973PLC002424,1,0,0.091661707,0.099840868,0.13809159,,3.126760563,2.474882629,,0.001408451,0.455472388,123.11,,0.000404968,772.8,155.8,107.75,75.05,42.31,9.73,,,,,0.47
921,Sandur Manganese & Iron Ores Ltd.,Minerals,210403,L85110KA1954PLC000759,1,0,0.213866322,0.204814772,0.315117349,,1.489942436,1.070888041,,0.000452752,0.051455361,34.35,,0.00014989,357.8,6.6,123.82,81.68,,58.18,,,,,1.12
922,Sandvik Asia Pvt. Ltd.,Machine tools,210409,U29299PN1960PTC011751,1,0,0.189038398,0.10421944,0.164000868,,1.667102112,1.151099499,,,0.221755808,73.44,,,6128,55.84,93.95,57.18,17.43,33.72,,,,,0.87
923,Sanman Trade Impex Ltd.,Wholesale trading,211517,U51900MH1996PLC104099,1,0,0.013998783,0.003217196,0.003963212,,1.658092618,1.000137552,,0.000550206,0.131450419,1.48,,0.000141938,1127.7,84.12,73.12,,,54.78,,,,,
924,Sanzyme Pvt. Ltd.,Drugs & pharmaceuticals,257081,U24235TG1969PTC001282,1,0,0.179562968,0.14505607,0.211955827,0.224765444,2.774000919,1.86564079,0.324764982,0.000459348,0.32933953,11.42,0.446279908,0.000106735,772.4,69.54,67.41,81.45,36.49,18.33,0.350088383,0.652767076,0.225309341,1.063001405,
925,Sapphire Industrial Infrastructures Pvt. Ltd.,Renewable electricity,385063,U70102GJ2008PTC107123,1,0,-0.263500325,-1.053772767,-0.8065915,0.116029917,0.444309927,,0.521280106,,-0.399826539,1.05,1.581941545,,-46.1,199.91,186.51,,,,-0.093187791,-0.279361229,-0.187992723,0.233070548,
926,Saraca Laboratories Ltd.,Drugs & pharmaceuticals,212398,U85195TG1988PLC008172,1,0,0.160645161,0.054065791,0.077407448,0.153024141,1.919786096,1.477956031,0.229471182,0.000356506,0.168059928,21.39,0.572487924,7.06747E-05,774,74.38,63.16,20.16,15.45,6.33,0.334861988,0.601323873,0.154235528,1.992515359,
927,Saraf Chemicals Pvt. Ltd.,Other chemical products,212429,U24100MH1984PTC033486,1,0,0.093715301,0.052240654,0.085726665,0.105780392,1.312562016,1.068465965,0.155330076,,0.031133944,3.52,1.615991903,,50.3,77.72,113.43,23.55,6.22,8.73,0.038922851,0.297454152,0.107173257,1.250174108,
928,Saraogi Udyog Pvt. Ltd.,Wholesale trading,19488,U23109WB1996PTC079509,1,0,0.046954315,0.007455441,0.011613636,,1.410998553,0.901746951,,0.00020674,0.122327856,2.3,,7.47622E-05,667.8,63.47,124.21,,,64.7,,,,,
929,Sarat Chatterjee & Co. (Vsp) Pvt. Ltd.,Transport logistics services,212749,U25202WB1975PTC029962,1,0,0.026428943,0.018730227,0.031734632,0.07509486,1.075372982,,0.08815576,0.00649908,0.010655849,1.71,2.745263009,0.003314503,54.9,122.75,122.63,,,,0.01036377,0.203650917,0.03086478,0.97258981,
930,Sarda Energy & Minerals Ltd.,Other ferrous metal products,189737,L27100MH1973PLC016617,1,0,0.115503922,0.129945143,0.195743291,0.139763701,2.225800023,1.370430475,0.594759456,0.000626352,0.0983555,10.27,0.286983855,0.000167378,1626.2,11.76,39.6,59.81,,37.87,0.080728753,0.663026211,0.160663225,0.820785346,0.69
931,Sarla Holdings Pvt. Ltd.,Education,341927,U70101DL2001PTC111808,1,0,-0.013532289,-0.026913468,-0.026913468,0.022292199,0.088196793,0.069542926,0.221067497,0.000381804,-0.641267318,1.74,6.194706146,0.000364413,-1694.1,25.77,182.13,,,,-0.264092411,-0.071724761,-0.011083744,0.411828896,
933,Sattva Developers Pvt. Ltd.,Diversified,383997,U70101WB2004PTC097736,1,0,0.097768215,0.617884305,0.812053469,0.075108637,1.494163279,1.087569463,0.001326628,0.000111886,0.945263886,6.87,2.346295006,0.000740558,820.3,68.43,37.29,,935.39,141.16,0.113884685,0.224423496,0.097835594,0.120479251,
934,Saurav Chemicals Ltd.,Other chemical products,310834,U24112PB1993PLC014017,1,0,0.209328358,0.12204673,0.169037985,,2.389233954,1.164855072,,0.001035197,0.218378802,23.11,,0.000212348,501.9,65.42,41.85,43.62,26.15,39.91,,,,,
935,Savex Technologies Pvt. Ltd.,Wholesale trading,214770,U31909MH1988PTC046237,1,0,0.115497522,0.015978215,0.024540809,0.098788473,1.84831974,1.089729019,-0.289542833,0.000222846,0.064135015,6.01,1.382362694,2.06789E-05,6380.1,25.97,6.08,,,23.97,0.403637744,0.417220764,0.154449119,6.293562775,
936,Savita Oil Technologies Ltd.,"Lubricants, etc.",214826,L24100MH1961PLC012066,1,0,0.133581941,0.050505631,0.074151831,0.095231143,2.110308433,1.363630153,0.21592323,0.000239096,0.283312413,10.7,0.688926726,6.73731E-05,6410,93.73,99.46,69.24,3.21,18.07,0.44566812,0.582135731,0.116645461,1.573062456,1.05
937,Savita Polymers Ltd.,Rubber products,214842,U74999MH1992PLC065826,1,0,0.076912121,0.040178571,0.060119048,,2.344125035,1.210159085,,0.001395479,0.361235119,7.59,,0.000395632,485.5,79.48,87.69,102.8,0.14,26.07,,,,,
938,Schiffer & Menezes India Pvt. Ltd.,"Cosmetics, toiletries, soaps & detergents",394373,U28122GA1997PTC002433,1,0,0.064217252,0.040647118,0.064914055,0.132962873,1.062043796,0.719890511,,,0.016110549,4.87,1.375550029,,23.9,43.59,58.39,45.85,12.24,2.28,0.019247805,0.297414835,0.077554965,1.194733027,
939,Schwing Stetter (India) Pvt. Ltd.,Mining & construction equipment,215374,U45309TN1998PTC046270,1,0,0.095564492,0.038998511,0.066676137,0.076100601,1.496743777,0.887125974,-0.058742247,0.000100578,0.183132813,7.56,2.589535623,4.23554E-05,3738.4,63.92,75.75,72.24,13.07,30.59,0.276047435,0.260799256,0.100505073,1.507361954,
940,Security Printing & Minting Corpn. Of India Ltd.,Miscellaneous manufactured articles,386078,U22213DL2006GOI144763,1,0,0.120692415,0.092424733,0.095672652,,2.237687124,1.658176538,,2.91882E-05,0.569788229,7952.8,,1.62842E-05,32542.6,133,45.23,171.03,44.65,36.93,,,,,
941,Seksaria Biswan Sugar Factory Pvt. Ltd.,Sugar,216334,U40102MH1939PLC002892,1,0,0.052125539,0.038726264,0.079323755,0.095731265,2.494486784,0.86322361,0.374450102,0.000567537,0.286069935,9.03,1.230300447,0.000123557,1758.1,6.26,36.32,7.74,2.23,155.31,0.335938396,0.398440784,0.09315168,1.17432262,
942,Sentiss Pharma Pvt. Ltd.,Drugs & pharmaceuticals,476762,U74899DL1994PTC056894,1,0,0.123449466,0.217761499,0.290538934,0.116782483,3.945941585,3.493625948,0.465561635,0.000806842,0.822004471,47.7,0.183889678,0.000286303,1728.1,163.06,104.19,188.98,1.01,35.04,0.431960206,0.832050192,0.152677098,0.525496176,
943,Service Master Clean Ltd.,Business services & consultancy,396265,U90001BR2009PLC014332,1,0,0.055200406,0.041276224,0.032436739,0.020742087,1.326169265,1.317483296,-0.17378674,0.000111359,0.066694488,2.12,0.936469835,3.88697E-05,175.8,58.97,185.3,,,,0.072638625,0.047227502,0.035327659,1.089124866,
945,Shakun Polymers Ltd.,Polymers,218153,U17119GJ1995PLC025304,1,0,0.144678702,0.071355188,0.110114878,,1.752359487,1.188336385,,0.000704325,0.141184895,16.19,,0.000176903,453.5,76.41,24.74,50.45,0.43,4.22,,,,,
946,Shankara Building Products Ltd.,Retail trading,218656,L26922KA1995PLC018990,1,0,0.033687362,0.006983377,0.010766216,0.030091844,1.232706247,0.681987682,0.309058318,0.001382662,0.03643002,1.62,1.481900173,0.000287214,857.1,52.94,52.77,,,42.15,0.106665505,0.23599323,0.031523011,2.927956293,0.82
