,company_name,industry_group,company_code,CIN code,industry_type,Defaulter,PAT/CE,PAT/sales,PBIT/sales,Cash Profits/TA,CR,QR,CFO/Debt,cash/CL,NWC/sales,INTCOV,Debt/Equity,cash/COS,NWC_cycle,Debtor_days,Creditor_days,RM_cycle,WIP_cycle,FG_cycle,NWC/TA,RE/TA,PBIR/TA,sales/TA,MVE/BVD
492,Infosys Ltd.,Computer software,100632,L85110KA1981PLC013115,1,0,0.23578657,0.200929343,0.274853082,,2.941428661,,,,0.405207052,,,,296490,65.51,45.01,,,,,,,,1.06
493,Infrasoft Technologies Ltd.,Computer software,332595,U72900MH1995PLC135094,1,0,0.140106514,0.110629488,0.134955037,,2.912490262,,,,0.471242803,70.31,,,728.4,143.55,281.06,,,,,,,,
494,Ingersoll-Rand (India) Ltd.,General purpose machinery,100750,L05190KA1921PLC036321,1,0,0.193348783,0.109783228,0.17675466,,2.449422433,1.961351614,,,0.281844326,257.45,,,2077.7,70.82,93.49,49.86,3.26,15.56,,,,,1.06
495,Injectoplast Pvt. Ltd.,Other automobile ancillaries,100790,U25201UP1996PTC020772,1,0,0.222293607,0.10809685,0.168393647,,2.157907197,1.571022727,,0.002130682,0.239989586,135.63,,0.00057027,460.9,79.14,63.65,48.57,10.39,11.03,,,,,
496,Inland Waterways Authority Of India,Shipping transport services,100848,,1,0,,,,,,,,,,,,,,,,,,,,,,,
497,Inox Air Products Pvt. Ltd.,Inorganic chemicals,101066,U24999MH1963PTC012625,1,0,0.092771226,0.193035282,0.294117647,0.146032551,1.679744339,1.405079214,0.5196074,0.006255525,0.163457057,6.37,0.418576473,0.001883567,2209.4,54.29,36.81,255.18,,4.81,0.073716943,0.697067871,0.13264312,0.450986607,0.87
498,Inox India Pvt. Ltd.,Diversified,101068,U99999GJ1976PTC018945,1,0,0.049910107,0.056785841,0.177516898,0.098222603,0.915917246,0.532716077,0.175564872,0.000221504,-0.16548826,1.9,2.026160496,0.000281088,-744.3,84.91,52.21,141.54,97.68,4.79,-0.092446995,0.319173777,0.099166574,0.55863174,
499,Inox Leisure Ltd.,Exhibition of films,101070,L92199GJ1999PLC044045,1,0,0.124289945,0.079367533,0.121807489,0.163507279,0.414100225,0.381398219,0.65445577,0.017088743,-0.097551838,9.57,0.443798892,0.004279303,-1640.5,18.61,74.89,,,,-0.117884193,0.329788304,0.147195355,1.208426151,0.98
500,Inox Wind Infrastructure Services Ltd.,Business services & consultancy,466252,U45207GJ2012PLC070279,1,0,-0.047767801,-0.26574044,-0.327261744,-0.007329091,0.739862619,0.427136421,-0.039562356,3.2827E-05,-1.552158357,0.02,419.2688679,0.000213117,-3340.4,375.27,1402.37,3301.09,641.61,,-0.187458613,-0.053481038,-0.039524339,0.120772866,
501,Inox Wind Ltd.,Boilers & turbines,386273,L31901HP2009PLC031083,1,0,0.000457337,0.000936462,0.006005247,0.010014333,1.628317843,1.312109116,0.105750437,2.39393E-05,0.508639975,1.07,0.870177986,3.16802E-05,6843.7,381.68,174.51,216.73,12.56,7.86,0.181983774,0.303953348,0.002148588,0.35778504,0.54
